번호,상품명,구성물, 제조사 ,사용연령,설명,영역,관리기관전화번호,데이터기준일자
200,아이존 뽀로로 뮤직스텐드마이크,본체,아이존,37개월이상,음악놀이 교육은 뮤직 스탠드 마이크와 함께 하세요. 자신감 있고 표현 잘하는 아이가 된답니다. ,역할(소꿉),063-432-3400,2022-12-02
201,아이존 까꿍 뽀로로 티슈박스,본체,아이존,6개월이상,시청각을 만족시키는 지휘놀이! 소근육발달과 집중력을 위한 티슈놀이! 30곡의 노래와 16가지의 음원이 수록되어 있습니다. ,조작(탐색),063-432-3400,2022-12-02
202,아이존 뽀로로 119 소방차,"본체, 뽀로로인형",아이존,37개월이상,뽀로로 119 소방차가 왔다갔다~ 손으로 움직여보세요. 후렉션 기어 기능으로 뽀로로 119 소방차를 밀면 앞으로 전진합니다. ,자동차(모형),063-432-3400,2022-12-02
203,아이존 뽀로로 멜로디 소방차,"본체, 뽀로로, 루피, 크롱",아이존,37개월이상,"사방으로 자유롭게 움직이는 소방사디리, 탈착이 가능한 뽀로로, 크롱, 루피. 반짝반짝 불빛과 깔끔한 컬러~ 둥글한 마감처리로 안전함까지 갖췄어요. ",자동차(모형),063-432-3400,2022-12-02
204,영실업 또봇 D,본체,영실업,37개월이상,30개의 명대사! 또봇이 말하면 눈에서 불빛이 짠! 가슴버튼을 누르면 말을해요. 몸체를 터치하면 말을해요!,자동차(모형),063-432-3400,2022-12-02
205,영실업 시크릿쥬쥬 시크릿요정 쥬쥬,본체,영실업,36개월이상,"시크릿 쥬쥬는 3D애니메이션 시리즈 '시크릿쥬쥬의 메인 캐릭터입니다. 동화나라 플레로마의 요정인 시크릿쥬쥬는 인간세상에서 릴리, 로사, 아이린 등 친구들과 함께 시크릿 다이어리의 마법으로 동화나라와 왕자님을 되찾기위해 미션을 해결하고 우정을 쌓아갑니다. ",역할(소꿉),063-432-3400,2022-12-02
206,영실업 지오메카 비스트가디언 레오칸,본체,영실업,36개월이상,"지오메카 비스트 가디언은 개성강한 태후, 루이, 석우가 만나 서로를 이해하며 지구를 지키는 비스트 가디언들로 성장해나가는 이야기입니다. 3단변신을 통해 다양한 액션을 보여줍니다. ",역할(소꿉),063-432-3400,2022-12-02
207,영실업 지오메카 비스트가디언 레오칸,본체,영실업,36개월이상,"지오메카 비스트 가디언은 개성강한 태후, 루이, 석우가 만나 서로를 이해하며 지구를 지키는 비스트 가디언들로 성장해나가는 이야기입니다. 3단변신을 통해 다양한 액션을 보여줍니다. ",역할(소꿉),063-432-3400,2022-12-02
208,지오메카 비스트가디언 3단합체 스카이호크,본체,영실업,36개월이상,"지오메카 비스트 가디언은 개성강한 태후, 루이, 석우가 만나 서로를 이해하며 지구를 지키는 비스트 가디언들로 성장해나가는 이야기입니다. 3단변신을 통해 다양한 액션을 보여줍니다. ",역할(소꿉),063-432-3400,2022-12-02
209,영실업 지오메카 비스트가디언 카이만,본체,영실업,36개월이상,"지오메카 비스트 가디언은 개성강한 태후, 루이, 석우가 만나 서로를 이해하며 지구를 지키는 비스트 가디언들로 성장해나가는 이야기입니다. 3단변신을 통해 다양한 액션을 보여줍니다. ",역할(소꿉),063-432-3400,2022-12-02
210,스텝2 주니어흔들말    ,본체,스텝2,12개월이상,클래식한 흔들말이 더욱 귀여워졌어요! 부드럽고 안락한 시트와 이지 그립형 핸들과 견고하게 만들어져서 심한 흔들림이나 기울어짐을 방지해줍니다. ,신체(승용),063-432-3400,2022-12-02
211,브라이트스타트 스피닝 라이트,본체,브라이트스타트,6개월이상,별 모양의 손잡이를 구욱~ 누르면 바닷속 친구들이 빙글빙글 움직이는 스피닝 라이트는 물고기와 함께 알록달록 컬러 라이트가 회전하며 아기의 시각을 자극하는 장난감입니다. ,조작(탐색),063-432-3400,2022-12-02
212,뽀로로빠방스쿨버스,"버스, 뽀로로와 친구들 10명",원더키드,3세이상,인형이 타고 내릴 수 잇어요~ 버스를 펼치면 놀이터가 나타납니다. ,조작(탐색),063-432-3400,2022-12-02
213,햇님토이 마이카,본체,햇님토이,36개월이상,동글동글한 디자인과 부드러운 색상! 사용연령에 맞게 탈부착 가능한 발판이 있습니다. ,신체(승용),063-432-3400,2022-12-02
214,로보카 폴리 멜로디자동차,본체,야야,36개월이상,실제차와 같이 양쪽문이 모두 열립니다. 안전을 위해 문의 열림이 느슨하지 않도록 되어 있습니다. 발판이 의자 밑으로 수납됩니다. 연령에 따라 발판을 넣거나 빼어 사용해 주세요.,신체(승용),063-432-3400,2022-12-02
215,스텝2 포드 손잡이차,본체,스텝2,18개월이상,포드트럭의 리얼함을 살려 제작된 자동차입니다. 운전대에 경적을 울릴수 있으며 360도 회전가능한 보조바퀴가 있습니다. 분리가 가능한 뒷손잡이와 탈부착이 가능한 발판이 포함되어 있습니다. ,신체(승용),063-432-3400,2022-12-02
216,뉴어라운드 위고,본체,브라이트스타트,6개월이상,360도 놀이테이블 주변을 돌며 걸음마를 익히는 뉴어라운드위고는 안전하게 움직이며 걸음마와 감각기능을 발달시킵니다. ,통합놀잇감,063-432-3400,2022-12-02
217,짐보리 낚시놀이,"낚시통, 낚시대, 동물모양 16개",짐보리,3세이상,색과 모양 변별력과 집중력 향상에 좋은 기초학습교구입니다. 독일 무독성 수성 페인트를 사용한 밝고 선명한 컬러의 원목완구입니다,역할(소꿉),063-432-3400,2022-12-02
218,한립토이즈 생일케이크,"케이크 6조각, 장식품 24개, 종이접시 4개, 칼 1개",한립토이즈,36개월이상,마음에 드는 모양으로 케이크를 장식하여 자신만의 케이크를 만들어 보세요. 촛불을 끄듯이 '훅'불어 주면 촛볼이 안으로 들어가면서 촛불이 꺼집니다.,역할(소꿉),063-432-3400,2022-12-02
219,립프로그 쿠킹오븐세트,"오븐, 재료 16개",립프로그,2세이상,"가상놀이를 하면서 16가지 재료들과 함께 숫자를 익혀요. 30가지의 단어, 노래와 함께 숫자세기, 나누기를 익히고 숫자 슬라이드를 조절하면서 숫자,시간,온도를 탐험해보아요.",역할(소꿉),063-432-3400,2022-12-02
220,로보카 폴리 멜로디자동차,본체,야야,36개월이상,실제차와 같이 양쪽문이 모두 열립니다. 안전을 위해 문의 열림이 느슨하지 않도록 되어 있습니다. 발판이 의자 밑으로 수납됩니다. 연령에 따라 발판을 넣거나 빼어 사용해 주세요.,신체(승용),063-432-3400,2022-12-02
221,홈런왕 배팅 연습기,"받침대, 공통로 2개, 배트, 아구공 3개",바이브랜드,10세이상,날씨 좋은날 아이와 야외활동으로 야구 게임 어떠세요? 모터가 작동하여 공을 발사하여 야구연습하며 놀 수 있는 야구 연습기입니다. ,신체(승용),063-432-3400,2022-12-02
222,브루미즈 싹둑싹둑 과일자르기 세트 (54종),"쇼핑카트, 과일 30종, 백과사전, 색칠공부 20장, 칼 도마, 접시",브루미즈,37개월이상,"쇼핑카트 과일자르기30종, 백과사전, 색칠공부20장, 칼 도마, 접시로 구성된 역할놀이를 할수 있는 완구 입니다.",역할(소꿉),063-432-3400,2022-12-02
223,미미월드 리틀미미 이층집,"이층집, 미미, 강아지, 놀이판, 스티커 외 36종",미미월드,37개월이상,"깜찍하고 귀여운 리틀 미미의 럭셔리 이층집입니다. 불이켜지는 램프와 핑크 침대가 있는 아늑한 침실, 핑크 러그와 쇼파, 옷장, 거울이 있는 드레스룸, 깜찍한 화장대, 욕실, 응접실로 구성되어 있습니다.",역할(소꿉),063-432-3400,2022-12-02
224,콩순이 말하는 냉장고,"냉장고 본체, 세요 키, 스티커 2개 외 11종",영실업,36개월이상,"손잡이를 당기면 캐리어로 변하는 냉장고 완구로 새요 키를 꽂으면 다양한 문장과 동요가 나오고, 냉장고에서 물이 나오며, 좋아하는 음식을 올리면 재미있는 음식이야기를 하면서 단순한 소꿉놀이에서 스토리 텔링으로 아이의 사고력과 창의력을 발달시켜줍니다.  ",역할(소꿉),063-432-3400,2022-12-02
225,비트밥 슈퍼스타 드럼세트,"드럼 본체, 의자, 채 2개",윈펀,37개월이상,"유아기부터 키즈까지 모두 사용이 가능한 활용범위가 큰 드럼입니다. 재미있는 연주놀이를 통해 자연 스레 창의력 및 EQ가 발달되며, 소근육을 이용한 놀이로 운동능력 발달에 도움을 줍니다. ",음률,063-432-3400,2022-12-02
226,퀵폴드 미끄럼틀 ,본체,그루업,3세이상,집에서도 즐기는 미끄럼틀 놀이.. 아담한 사이즈로 실내에서도 부담없이 놀아요. 간단히 접어서 좁은 공간에도 효과적으로 보관이 가능 합니다.자외선 차단 플라스틱 소재로 실내 및 야외 놀이에 적합니다.,신체(승용),063-432-3400,2022-12-02
227,뽀로로 멜로디 볼텐트(볼100개),"본체, 볼 100개",아이존,12개월이상,어디에서도 볼수 없었던 독특한 뽀로로 과자집 볼텐트가 탄생했어요. 정면에 초인종을 누르면 뽀로로 주제가와 총 4가지 테마 소리가 나와요.,역할(소꿉),063-432-3400,2022-12-02
228,뽀뽀그네1인용,본체,햇님토이,24개월이상,아이들이 좋아하는 밝은 노란색상의 기린모양으로 친근감을 줍니다. 레드&옐로우의 밝은 색상으로 아이들이 더욱 좋아하는 뽀뽀그네입니다.,신체(승용),063-432-3400,2022-12-02
229,카봇 킹가이즈,본체,손오공,37개월이상,"로봇들의 제왕 로봇모드, 하늘의제왕 이글모드, 백수의 제왕 라이온 모드, 바다의 제왕 샤크모드, 총 4가지 모드로 변화무쌍하게 변신한다.",자동차(모형),063-432-3400,2022-12-02
230,카봇 메가볼드,본체,손오공,37개월이상,배짱 두둑하고 패기가 넘치는 카봇. 메가볼드. 변신 단계가 간편하고 변신을 할 때 맞물림이 정교합니다.,자동차(모형),063-432-3400,2022-12-02
231,카봇 킹다이저,"킹다이저, 날개 2개",손오공,37개월이상,"킹다이저의 기본모드인 로봇 모드, 부드러운 성격이지만 실제로는 강력한 코끼리 모드, 자존심이 강한 하늘의 지배자 드래곤 모드로 3단 변신을 한다.",자동차(모형),063-432-3400,2022-12-02
232,카봇 우가바,"우가바, 무기 2개",손오공,37개월이상,고릴라의 모습으로 미래에서 찾아왔다. 장난기 많은 고릴라 카봇 우가바. 그러나 위기의 순간에는 용감한 문제를 해결하는 듬직한 친구.,자동차(모형),063-432-3400,2022-12-02
233,카봇 비트런,"비트런, 무기 2개",손오공,37개월이상,강력한 터보와 정열을 가진 푸른 불꽃의 사나이로 변신! 변신 단계가 간편하고 변신을 할때 맞물림이 정교합니다.,자동차(모형),063-432-3400,2022-12-02
234,카봇 오토소닉,"오토소닉, 무기 2개",손오공,37개월이상,"카봇 중에는 최고 속도를 내며,F1 머신답게 고가를 자랑한다. 멋있고 쿨하며, 평소에는 느끼할 정도로 부드럽고 자상하지만, 위기의 순간이 되면 거침없어진다.",자동차(모형),063-432-3400,2022-12-02
235,카봇 아머퍼스,"아머퍼스, 무기 1개",손오공,37개월이상,"아머포스의 기본모드인 로봇 모드, 창공을 가로지르는 헬리콥터 모드, 무대뽀식 막무가내 탱크 모드로 3단 변신을 한다.",자동차(모형),063-432-3400,2022-12-02
236,카봇 카봇시계 버전2 (세트),"시계, 카봇팩 2개, 보관함, 클립, 체인줄",손오공,37개월이상,카봇팩을 장착하면 시계에서 효과음과 불빛이 난다. 시계를 돌리면 액션 효과음과 카봇팩 종류별 효과음이 난다.,자동차(모형),063-432-3400,2022-12-02
237,기운센 2in1 포크레인붕붕카,"본체,안전모",야야,3세이상,붕붕카도 타고 포크레인 놀이도 해요. 포크레인이 상하좌우 회전이 가능해요. 포크레인과 집게발을 교체하여 사용할 수 있습니다.,신체(승용),063-432-3400,2022-12-02
238,NEW 알파벳 주 볼 ,본체,립프로그,6개월이상,즐거운 음악과 함께 바퀴를 굴려보세요. 화살표에 불이 켜지며 화살표가 가리키는 알파벳과 동물을 배울 수 있어요. 음표버튼을 누르면 노래모드로 변해요. 스핀이 멈추면 동물의 울음소리가 나와요.,조작(탐색),063-432-3400,2022-12-02
239,NEW 투인원 러닝 노트북-핑크,본체,립프로그,2세이상,"노트북에서 테블릿으로 바꾸려면 화면을 돌려 열고 닫아 주세요. 키보드를 사용하여 문자와 숫자를 배우고, 재미난 노래와 문구를 포함한 5가지 모드를 통해 신나게 배울 수 있어요.",조작(탐색),063-432-3400,2022-12-02
240,공놀이 기린,"본체, 공 6개",브라이트스타트,12개월 이상,"공을 입에 넣으면 숫자를 세어주고, 기릭 뿔을 만지면 재미있는 사운드와 즐거운 음악소리를 들려주고 빙글빙글 회전 실력을 보여줍니다. 공을 넣고, 공을 잡으로 따라다니면서 자연스럽게 소근육과 대근육을 자극하게 되는 똑똑한 공놀이 기린입니다.",조작(탐색),063-432-3400,2022-12-02
241,뉴 러닝 노트북,본체,피셔프라이스,6개월이상,"신선하고 매끄러운 디자인으로 더욱 더 업그레이드 된 아기용 노트북입니다. 스마트 스테이지 기술로 아기의 월령에 맞춰 3단계 놀이학습이 가능합니다. 30가지 이상의 노래와 문구들, 9가지 컬러풀한 키보드 버튼으로 더욱더 현실감 넘치는 역할놀이를 경험해보세요.",조작(탐색),063-432-3400,2022-12-02
242,미미노트북,본체,미미월드,6세이상,"영상 꾸미기에서는 내가 찍은 동영상에 귀여운 프레임도 선택하고, 움직이는 스티커도 넣고, 배경음악도 깔아요. 카메라 기능으로 재미있는 프레임들을 선택해 사진을 찍어요. 스티커로 더욱 다양한 사진으로 만들어요.",조작(탐색),063-432-3400,2022-12-02
243,타요 긴급출동센터 플레이세트,"타요, 출동레일, 센터본체, 미션카드 2장",아이코닉스,37개월이상,경찰 타요의 사이렌을 누르면 반짝반짝 사이렌에 불빛이 나와요. 미션카드를 카드 거치대에 꽂으면 다양 미션 사운드가 나와요.,자동차(모형),063-432-3400,2022-12-02
244,타요 트래블 키즈 캐리어 여행가방,본체,아이코닉스,37개월이상,"타요 트레블 키즈 캐리어는 아이의 소증한 물건은 담아 스스로 끌기도 하고 타기도 하며 놀이 할 수 있고, 타요의 친근한 모습을 한 다양한 기능의 트래블 키즈 캐리어는 우리 아이에게 꼿 필요한 여행 필수 아이템입니다.",역할(소꿉),063-432-3400,2022-12-02
245,레트로 로켓,본체,라디오플라이어,12개월이상,"버튼을 누르면 표시등이 깜빡이며,버튼마다 카운트다운 소리 및 착륙할 때의 소리등 다양한 효과음으로 아이의 재미를 더해줍니다.아이들이 좋아하는 로켓디자인의 레트로 로켓은 표면이 매끄럽고 곡선으로 처리되어 아이가 쉽게 긁히거나 다치지 않습니다.",신체(승용),063-432-3400,2022-12-02
246,립프로그 미니계산대,"계산대, 상품 8개, 동전 10개, 적립카드",립프로그,2세이상,동전 투입구는 동전을 넣을때 마다 숫자를 세어줍니다. 상품을 스켄한 후 토탈을 누르면 얼마인지 알려줍니다. 돈에대한 인지와 사용방법을 익히며 맛있는 음식도 배워보아요. 재미있는 노래와 사운드가 나와 즐겁게 놀이할 수 있습니다. ,역할(소꿉),063-432-3400,2022-12-02
247,래프앤런 렛츠 싱크/목욕 양치놀이,"본체, 소품 4개",리틀타익스,18개월이상,목욕이나 양치하기 싫어하는 아이들에게 놀이를 통해 얼굴을 씻거나 양치에 대한 거부감을 없애고 건강한 습관을 가르치는 50가지 멜로디로 즐겁게 학습할 수 있습니다.,역할(소꿉),063-432-3400,2022-12-02
248,빙글빙글 타요 주차장 놀이세트,"주차장, 타요",아이코닉스,3세이상,"신나게 빙글빙글 미끄럼도 타고, 다시 엘리베이터로 올라가고! 타요와 함께 주차장 놀이를 해 보아요!",자동차(모형),063-432-3400,2022-12-02
249,베이비타요 팡팡 드럼,본체,아이코닉스,12개월이상,"베이비타요 팡팡 드럼은 다양한 멜로디와 효과음, 타요의 재미있는 멘트를 들으며 아이들의 성장에 맞춰 놀이가 가능한 베이비 악기완구 입니다. ",조작(탐색),063-432-3400,2022-12-02
250,까꿍 뽀로로 티슈박스,"본체,티슈 10장",아이존,6개월이상,"지휘놀이, 티슈놀이, 회전 뽀로로 놀이, 드럼 연주 놀이, 팝업놀이, 숫자 다이얼 놀이 등 집중력과 호기심을 자극하는 6가지 놀이가 가득합니다.",조작(탐색),063-432-3400,2022-12-02
251,뽀로로 뮤직스텐드마이크,본체,아이존,37개월이상,음악놀이 교육은 뮤직 스탠드 마이크와 함께 하세요. 자신감 있고 표현 잘하는 아이가 된답니다. ,음률,063-432-3400,2022-12-02
252,뽀로로 변신 소방차,"변신소방차, 미니카 3개, 피규어 3개, 부속품",아이존,3세이상,뽀로로 소방차로 놀이하고 소방구조대로 변신! 신나게 역할놀이에 몰입하면서 사회성과 창의력이 자랄 수 있어요.,자동차(모형),063-432-3400,2022-12-02
253,번개카(붕붕카),본체,아이실리콘,12개월이상,아이들이 많은 힘을 들이지 않고 핸들만 흔들어도 앞으로 나아가는 붕붕카입니다. 폴리우레탄 바퀴로 소음없이 실내에서 타고 아이의 공간지각 능력과 근육 발달에 도움을 줍니다.,신체(승용),063-432-3400,2022-12-02
254,3 in 1 액티비티 오션,"잠수함 1대, 캐노피 1개, 스탠딩 옥토퍼스 1개",리틀타익스,6개월이상,"아이에게 필요한 운동능력 발달, 감각능력 발달, 인과관계 학습, 눈과 손의 협응 능력 등 모든 발달을 돕는 종합놀이완구입니다. 분리형으로 각각의 제품을 단독완구로 사용할 수 있으며, 15가지 이상의 놀이가 가능한 완구입니다.",신체(승용),063-432-3400,2022-12-02
255,뽀로로 무빙 택배놀이,"본체, 오토바이, 스캐너, 택배박스4개, 선물5개, 포장트레이",아이코닉스,3세이상,"레일이 움직이는 뽀로로 무빙 택배놀이. 누구에게 보내는 택배일까요? 택배 박스를 포장하고 레일 위에 올려 박스를 옮겨요. 오토바이에 택배 박스를 실어 택배 배달 출발. 뽀로로의 재미있는 멘트와 효과음,동요를 들으며 더욱 실감나는 놀이를 할 수 있어요.",역할(소꿉),063-432-3400,2022-12-02
256,뽀로로 서커스 공놀이,"본체, 공 5개",아이코닉스,18개월이상,"뽀로로 서커스 공놀이는 숫자, 색깔2가지 모드로 모자나 고깔 속에 5가지의 캐릭터 공을 넣어 아래도 공이 굴러 내려오면 4개의 각 문을 열러보며 숨어있는 캐릭터 공을 차자자보고 뽀로로의 다양한 칭찬 멘트를 듣는 공놀이 토이입니다.",조작(탐색),063-432-3400,2022-12-02
257,아장아장 스마트 터틀,본체,유닛키즈,12개월이상,4색 LED와 함께 움직이는 거북이입니다. 아기들의 정서에 도움을 주며 순발력과 집중력을 향상시켜 줍니다.,조작(탐색),063-432-3400,2022-12-02
258,뽀로로 힘센 유조차,본체,바니랜드,3세이상,다양한 기능에 안전하고 튼튼한 뽀로로 힘센 유조차. 우리아이들이 정말 좋아하는 자동차 완구입니다.,자동차(모형),063-432-3400,2022-12-02
259,드리븐리얼 청소차,"본체, 쓰레기통 2개, 빗자루",드리븐,3세이상,청소차의 원리를 생각해 만든 디자인. 통안에 쓰레기를 넣어보세요. 기울기를 조정해 쓰레기를 깨끗히 비울 수 있습니다.,자동차(모형),063-432-3400,2022-12-02
260,콩순이 말하는 멜로디 밥솥세트,"밥솥, 소품 9개",플레이맥스,3세이상,콩순이 말하는 멜로디 밥솥과 즐거운 요리시간! 10가지 음성지원에 다양한 멜로디로 즐거운 놀이하며 건강한 식습관도 만들어주세요.,역할(소꿉),063-432-3400,2022-12-02
261,의사놀이 X-ray 병원놀이 가방 ,"케이스,도구 12개",레드박스,3세이상,가방에서 나는 다양한 효과음과 불빛들은 아이들의 감각발달에 도움을 주고 더욱 실감나는 놀이를 할 수 있도록 해줍니다.,역할(소꿉),063-432-3400,2022-12-02
262,BMW R1200GS 세발자전거,본체,파파야나인,3세이상,아이의 성장에 따라 2가지 방법으로 사용이 가능합니다. 페달이 익숙하지 않는 아이라면 페달을 분리하여 사용이 언제든지 필요할 때 페달을 장착하여 사용하실 수 있습니다.,신체(승용),063-432-3400,2022-12-02
263,토스트만들기 놀이세트 ,"토스터기, 빵 4개, 딸기잼, 토마토, 양상추, 햄, 칼, 접시, 버터, 버터접시",레드박스,3세이상,"맛있는 토스트를 직접 만들어 볼까요? 친구들과 대화를 나누며 멋진 T-time을 즐겨보아요~! 지글지글 토스트 굽는 소리가 나며 타이머가 끝나면 3,2,1 땡! 하는 소리와 함께 토스트와 레버가 자동으로 올라옵니다. ",역할(소꿉),063-432-3400,2022-12-02
264,주유소놀이,본체,리틀타익스,3세이상,"유아의 상상력과 사회성을 기를 수 있는 역할놀이 완구입니다. 주유기의 3가지 버튼은 클락션, 시동거는 소리 주유하는 소리가 납니다.",역할(소꿉),063-432-3400,2022-12-02
265,째즈달팽이,본체,치코,9개월이상,버튼을 누르면 째즈 음악이 나옵니다. 구슬을 돌리면 알록달록한 불빛이 나와 아이들이 좋아합니다.,조작(탐색),063-432-3400,2022-12-02
266,NEW 전자레인지,"전자레인지, 음식4종",레드박스,3세이상,"진짜 전자레지처럼 다양한 기능의 버튼들이 있고, 소리도 나고 불빛도 반짝이며 다양한 요리만들기 놀이를 할 수 있는제품입니다.",역할(소꿉),063-432-3400,2022-12-02
267,하모니드럼,"하모니드럼, 드럼채 2개, 에그쉐이커, 탬버린, 호루라기, 캐스터네츠",브랜드B,12개월이상,"휴대가 가능한 퍼레이드 악기세트. 하모니드럼, 딱딱소리를 내는 캐스터네츠, 삐익 호루라기, 샤카샤카 에그탬버린, 드럼스틱 까지. 다양한 도구로 즐거운 연주를 해 보아요.",음률,063-432-3400,2022-12-02
268,빨간망토 모빌,본체,치코,0개월이상,모빌은 분리 가능한 형태로 모빌과 뮤직박스로 두가지 모드로 사용가능합니다. 집 모양 버튼을 돌리면 멜로디가 나오면서 음악과 함께 모빌이 돌아갑니다.(오르골방식),조작(탐색),063-432-3400,2022-12-02
269,찰리 붕붕카,본체,치코,12개월이상,"의자 아래 공간이 있어 아이들이 장난감등을 보관할 수 있습니다.걸음마, 붕붕카 두 가지용도로 사용할 수 있습니다.프로펠러와 레버등 다양한 요소들이 아이들을 더욱 즐겁게 도와줍니다.",신체(승용),063-432-3400,2022-12-02
270,동물의집,"본체, 블록 10개, 열쇠뭉치",치코,12개월이상,5가지 색깔의 열쇠로 각각의 5가지 문이 열립니다. 10가지 동물&도형 블록으로 도형 맞추기 놀이를 할 수 있습니다. 도형을 모두 맞춘 후 같은 색 열쇠로 문을 여는 놀이를 해보세요.,조작(탐색),063-432-3400,2022-12-02
271,IQ EQ 런닝테이블,"본체,놀이판,공구 4개, 도형 3개",유닛키즈,3세이상,"여러가지 동물들의 울음소리와 멜로디 그리고 다양한 효과음, 영어학습&공구놀이&촉감놀이 그리고 책상기능으로도 활용이 가능합니다",통합놀잇감,063-432-3400,2022-12-02
272,클리어리 볼링,"볼링공, 볼링핀 6개",  리틀타익스,3세이상,  유아의 운동능력을 길러주는 운동 완구입니다.   볼링을 처음 시작하는 유아도 쉽고 재미있게 놀이를 즐길 수 있습니다.,신체(승용),063-432-3400,2022-12-02
273,세탁기놀이세트,본체,레드박스,3세이상,세제 넣는 공간이 있고 세탁기 뒷면을 보면 건전지를 넣는 곳과 작동 할 수 있게 하는 스위치가 있습니다. Play버튼을 누르면 세탁기 소리와 함께 드럼통이 자동으로 돌아갑니다.,역할(소꿉),063-432-3400,2022-12-02
274,베이비스포츠센터,"본체, 축구공, 농구공, 볼링공",리틀타익스,9개월이상,아기 스포츠센터는 유아의 소근육발달과 신체놀이에 이상적인 유아완구입니다. 농구공을 골대에 넣어주세요. 아래의 공받이로 공이 굴러 나와 계속 놀이가 가능합니다. 자동으로 숫자가 카운팅되며 효과음과 음악이 흘러나와 유아들의 호기심을 유발 할 수 있습니다.,신체(승용),063-432-3400,2022-12-02
275,뛰뛰빵빵-화물수송기,"본체, 구성품 1개",브이텍,12개월이상, 2대의 자동를 실을 수 있는 화물 수송기입니다. 활주로 램프로 변신하는 놀라운 재주를 가진 제품입니다.,자동차(모형),063-432-3400,2022-12-02
276,뛰뛰빵빵-폴리스카,본체,브이텍,6개월이상,"폴리스카를 끌면 재밌는 소리와 멜로디, 영어문장을 들을 수 있습니다. 감각능력, 언어능력, 인지능력에 도움을 줍니다.",자동차(모형),063-432-3400,2022-12-02
277,뛰뛰빵빵-소방차,본체,브이텍,12개월이상,자동차를 재빨리 또는 천천히 아래로 누르면 재미있는 소리와 문장을 들을 수 있습니다. 눌렀던 손을 떼면 자동차가 앞으로 달려 나갑니다.,자동차(모형),063-432-3400,2022-12-02
278,뛰뛰빵빵크레인건축놀이세트,"크레인 건축세트, 도형 3개, 굴착기",브이텍,12개월이상,공사장의 일꾼이되어 거대한 크레인 타워의 바스켓 리프트를 올리고 내리면서 모양 블록을 건설해봅니다. 도형 분류기 안에 블록을 넣으면서 재미있는 놀이를 할 수 있습니다.,자동차(모형),063-432-3400,2022-12-02
279,뛰뛰빵빵 드라이버-슈퍼트랙,"슈퍼트랙 플레이세트, 레이싱카",브이텍,12개월이상,"만들고 달리며 배우는 창의력 향상 드라이브 러닝기구로, 360도 회전 루프와 나선코스, 램프 등의 세가지 코스를 따라 달리면서 자녀의 언어능력과 운동능력을 발달 시킬 수 있습니다.",자동차(모형),063-432-3400,2022-12-02
280,해저탐험 드럼세트,"본체, 탬버린, 마라카스 2개, 크랩",브라이트스타트,3개월이상,"치링치링 불가사리 탬버린과 양 손에 쥐고 흔들면 경쾌한 소리를 내는 2개의 마라카스, 다양한 클래식 음악과 재미있는 소리를 들려주는 크랩이 들어 있는 음악놀이세트입니다.",음률,063-432-3400,2022-12-02
281,어라운드 음악놀이,본체,브라이트스타트,3개월이상,살짝 터치만 해도 기타와 피아노 드럼 소리를 연주해 내는 신기한 음악놀이친구입니다. 어느 방향에서나 음악놀이를 즐길 수 있으며 즐거운 멜로디에 악기 소리를 추가하며 지휘자처럼 소리를 다룰수 있습니다.,음률,063-432-3400,2022-12-02
282,롤러코스터 씽씽,본체,우드피아,3세이상,"두터운 나무로 받쳐주고 있고, 자연 나무질감이 어린 유아의 정서발달에 큰 도움을 줍니다. 구슬 모양을 보면 동그라미, 세모, 네모 등의 도형을 배웁니다.",조작(탐색),063-432-3400,2022-12-02
283,4단점프 스피드트랙,"본체, 자동차 4개",탑브라이트,18개월이상,스피드를 좋아하는 우리 아이들을 위한 미니 레이싱 트랙입니다. 나무로 된 트랙과 알록달록한 자동차로 신나고 짜릿한 레이싱을 즐겨보세요.,자동차(모형),063-432-3400,2022-12-02
284,거북이 망치놀이,"본체, 망치",탑브라이트,24개월이상,나무 망치를 이용하여 다양한 색상의 막대기를 투닥투닥 두르려 보세요. 우리 아이들의 눈과 손의 협응력 및 힘 조절능력을 길러줍니다.,조작(탐색),063-432-3400,2022-12-02
285,뛰뛰빵빵 퍼즐버스놀이,"본체, 도형블럭 4개",탑브라이트,18개월이상,버스모양의 상자에 다양한 놀이기능이 더해져 아이가 놀이하는 동안 사물의 모양과 색상을 이해하는 인지능력과 사고능력 향상에 도움을 줍니다.,자동차(모형),063-432-3400,2022-12-02
286,숫자학습 미로퍼즐,본체,탑브라이트,24개월이상,무서운 악어를 피해서 구불구불 미로속의 구슬들을 움직여 이동시켜보세요. 자석 막대와 돌림판을 이용하여 더욱 빠르고 재미있게 놀이해요,조작(탐색),063-432-3400,2022-12-02
287,원목컬러도미노 젠가놀이세트,"젠가 52개, 주사위, 캐릭터카드",탑브라이트,3세이상,6가지의 서로 다른 색상과 동물그림의 젠가입니다. 아래층의 블럭을 빼내어 블럭 탑을 쌓아보세요. 탑이 무너지지 않도록 조심조심!,퍼즐(게임),063-432-3400,2022-12-02
288,래프앤런 지구본,본체,피셔프라이스,18개월이상,유아가 성장함에 따라 단계를 조절하며 상상여행을 한단계씩 높여갈 수 있도록 3단계로 구성돼있습니다. 아이와 함께 상상 세계여행을 떠나보세요.,조작(탐색),063-432-3400,2022-12-02
